"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"5";"33";"5";"3";"33";"5";"1";"33";"5";"1";"33";"5";"3";"33";"5";"2";"33";"5";"2";"33";"5";"2";"33";"5";"3";"33";"5";"1";"33";"5";"2";"33";"5";"4";"33";"5";"1";"33";"5";"1";"33";"5";"4";"33";"5";"1";"33";"5";"2";"33";"5";"3";"33";"5";"2";"33";"5";"2";"33";"5";"2";"33";"5";"1";"33";"5";"3";"33";"5";"1";"33";"5";"6";"33";"5";"1";"33";"5";"2";"33";"5";"4";"33";;;;"5";"1";"33"
;"5";"5";"34";"5";"3";"34";"5";"1";"34";"5";"1";"34";"5";"3";"34";"5";"2";"34";"5";"2";"34";"5";"2";"34";"5";"3";"34";;;;"5";"2";"34";"5";"4";"34";"5";"1";"34";"5";"1";"34";"5";"4";"34";"5";"1";"34";"5";"2";"34";"5";"3";"34";"5";"2";"34";"5";"2";"34";"5";"2";"34";;;;"5";"3";"34";"5";"1";"34";"5";"6";"34";"5";"1";"34";"5";"2";"34";"5";"4";"34";;;;"5";"1";"34"
;"5";"5";"35";"5";"3";"35";"5";"1";"35";"5";"1";"35";"5";"3";"35";"5";"2";"35";"5";"2";"35";"5";"2";"35";"5";"3";"35";;;;"5";"2";"35";"5";"4";"35";"5";"1";"35";"5";"1";"35";"5";"4";"35";"5";"1";"35";"5";"2";"35";"5";"3";"35";"5";"2";"35";"5";"2";"35";"5";"2";"35";;;;"5";"3";"35";"5";"1";"35";"5";"6";"35";"5";"1";"35";"5";"2";"35";"5";"4";"35";;;;"5";"1";"35"
;"5";"5";"36";"5";"3";"36";"5";"1";"36";"5";"1";"36";"5";"3";"36";"5";"2";"36";"5";"2";"36";"5";"2";"36";"5";"3";"36";;;;"5";"2";"36";"5";"4";"36";"5";"1";"36";"5";"1";"36";"5";"4";"36";"5";"1";"36";"5";"2";"36";"5";"3";"36";"5";"2";"36";"5";"1";"36";"5";"2";"36";;;;"5";"3";"36";"5";"1";"36";"5";"6";"36";"5";"1";"36";"5";"2";"36";"5";"4";"36";;;;"5";"1";"36"
;"5";"5";"37";"5";"2";"37";"5";"1";"37";"5";"1";"37";"5";"2";"37";"5";"2";"37";"5";"2";"37";"5";"2";"37";"5";"3";"37";;;;"5";"2";"37";"5";"4";"37";;;;"5";"1";"37";"5";"3";"37";"5";"1";"37";"5";"2";"37";"5";"3";"37";"5";"2";"37";"5";"1";"37";"5";"2";"37";;;;"5";"3";"37";"5";"1";"37";"5";"6";"37";"5";"1";"37";"5";"2";"37";"5";"4";"37";;;;"5";"1";"37"
;"5";"5";"38";"5";"2";"38";"5";"1";"38";"5";"1";"38";"5";"2";"38";"5";"2";"38";"5";"2";"38";"5";"1";"38";"5";"2";"38";;;;"5";"2";"38";"5";"4";"38";;;;"5";"1";"38";"5";"3";"38";"5";"1";"38";"5";"2";"38";"5";"3";"38";"5";"2";"38";"5";"1";"38";"5";"2";"38";;;;"5";"3";"38";"5";"1";"38";"5";"6";"38";"5";"1";"38";"5";"2";"38";"5";"4";"38";;;;"5";"1";"38"
;"5";"5";"39";"5";"2";"39";"5";"1";"39";"5";"1";"39";"5";"2";"39";"5";"2";"39";"5";"2";"39";"5";"1";"39";"5";"1";"39";;;;"5";"2";"39";"5";"3";"39";;;;"5";"1";"39";"5";"3";"39";"5";"1";"39";"5";"1";"39";"5";"3";"39";"5";"2";"39";"5";"1";"39";"5";"2";"39";;;;"5";"3";"39";"5";"1";"39";"5";"6";"39";"5";"1";"39";"5";"2";"39";"5";"3";"39";;;;"5";"1";"39"
;"5";"5";"40";"5";"2";"40";"5";"1";"40";"5";"1";"40";"5";"1";"40";"5";"2";"40";"5";"2";"40";"5";"1";"40";"5";"1";"40";;;;"5";"2";"40";"5";"3";"40";;;;"5";"1";"40";"5";"2";"40";"5";"1";"40";"5";"1";"40";"5";"3";"40";"5";"2";"40";"5";"1";"40";"5";"2";"40";;;;"5";"3";"40";"5";"1";"40";"5";"6";"40";"5";"1";"40";"5";"2";"40";"5";"3";"40";;;;"5";"1";"40"
;"5";"5";"41";"5";"2";"41";"5";"1";"41";"5";"1";"41";"5";"1";"41";"5";"2";"41";"5";"1";"41";"5";"1";"41";"5";"1";"41";;;;"5";"2";"41";"5";"3";"41";;;;"5";"1";"41";"5";"2";"41";"5";"1";"41";"5";"1";"41";"5";"3";"41";"5";"2";"41";"5";"1";"41";"5";"2";"41";;;;"5";"3";"41";"5";"1";"41";"5";"5";"41";"5";"1";"41";"5";"2";"41";"5";"3";"41";;;;"5";"1";"41"
;"5";"5";"42";"5";"2";"42";"5";"1";"42";"5";"1";"42";"5";"1";"42";"5";"2";"42";;;;"5";"1";"42";"5";"1";"42";;;;"5";"2";"42";"5";"3";"42";;;;"5";"1";"42";"5";"2";"42";"5";"1";"42";"5";"1";"42";"5";"2";"42";"5";"2";"42";"5";"1";"42";"5";"2";"42";;;;"5";"3";"42";"5";"1";"42";"5";"5";"42";"5";"1";"42";"5";"2";"42";"5";"3";"42";;;;"5";"1";"42"
;"5";"5";"43";"5";"2";"43";;;;"5";"1";"43";"5";"1";"43";"5";"2";"43";;;;"5";"1";"43";"5";"1";"43";;;;"5";"2";"43";"5";"3";"43";;;;"5";"1";"43";"5";"2";"43";"5";"1";"43";"5";"1";"43";"5";"2";"43";"5";"2";"43";;;;"5";"2";"43";;;;"5";"3";"43";"5";"1";"43";"5";"4";"43";"5";"1";"43";"5";"2";"43";"5";"3";"43";;;;"5";"1";"43"
;"5";"5";"44";"5";"2";"44";;;;"5";"1";"44";"5";"1";"44";"5";"2";"44";;;;"5";"1";"44";"5";"1";"44";;;;"5";"2";"44";"5";"3";"44";;;;"5";"1";"44";"5";"2";"44";"5";"1";"44";"5";"1";"44";"5";"2";"44";"5";"2";"44";;;;"5";"2";"44";;;;"5";"2";"44";"5";"1";"44";"5";"4";"44";"5";"1";"44";"5";"2";"44";"5";"3";"44";;;;"5";"1";"44"
;"5";"4";"45";"5";"2";"45";;;;"5";"1";"45";"5";"1";"45";"5";"2";"45";;;;"5";"1";"45";"5";"1";"45";;;;"5";"2";"45";"5";"3";"45";;;;"5";"1";"45";"5";"2";"45";"5";"1";"45";"5";"1";"45";"5";"2";"45";"5";"2";"45";;;;"5";"2";"45";;;;"5";"2";"45";"5";"1";"45";"5";"4";"45";"5";"1";"45";"5";"1";"45";"5";"3";"45";;;;"5";"1";"45"
;"5";"4";"46";"5";"2";"46";;;;"5";"1";"46";"5";"1";"46";"5";"2";"46";;;;"5";"1";"46";"5";"1";"46";;;;"5";"1";"46";"5";"3";"46";;;;"5";"1";"46";"5";"2";"46";"5";"1";"46";"5";"1";"46";"5";"2";"46";"5";"1";"46";;;;"5";"2";"46";;;;"5";"2";"46";"5";"1";"46";"5";"4";"46";"5";"1";"46";;;;"5";"3";"46";;;;"5";"1";"46"
;"5";"4";"47";"5";"2";"47";;;;"5";"1";"47";"5";"1";"47";"5";"2";"47";;;;"5";"1";"47";"5";"1";"47";;;;"5";"1";"47";"5";"3";"47";;;;"5";"1";"47";"5";"2";"47";"5";"1";"47";"5";"1";"47";"5";"2";"47";"5";"1";"47";;;;"5";"2";"47";;;;"5";"2";"47";"5";"1";"47";"5";"4";"47";"5";"1";"47";;;;"5";"3";"47";;;;"5";"1";"47"
;"5";"4";"48";"5";"2";"48";;;;"5";"1";"48";"5";"1";"48";"5";"2";"48";;;;"5";"1";"48";"5";"1";"48";;;;"5";"1";"48";"5";"3";"48";;;;"5";"1";"48";"5";"2";"48";"5";"1";"48";"5";"1";"48";"5";"2";"48";"5";"1";"48";;;;"5";"2";"48";;;;"5";"2";"48";"5";"1";"48";"5";"4";"48";"5";"1";"48";;;;"5";"3";"48";;;;"5";"1";"48"
;"5";"3";"49";"5";"2";"49";;;;"5";"1";"49";"5";"1";"49";"5";"2";"49";;;;"5";"1";"49";"5";"1";"49";;;;;;;"5";"3";"49";;;;"5";"1";"49";"5";"2";"49";"5";"1";"49";"5";"1";"49";"5";"2";"49";"5";"1";"49";;;;"5";"1";"49";;;;"5";"2";"49";"5";"1";"49";"5";"4";"49";"5";"1";"49";;;;"5";"3";"49";;;;"5";"1";"49"
;"5";"3";"50";"5";"2";"50";;;;"5";"1";"50";"5";"1";"50";"5";"2";"50";;;;"5";"1";"50";"5";"1";"50";;;;;;;"5";"3";"50";;;;"5";"1";"50";"5";"1";"50";"5";"1";"50";;;;"5";"2";"50";"5";"1";"50";;;;"5";"1";"50";;;;"5";"2";"50";"5";"1";"50";"5";"4";"50";"5";"1";"50";;;;"5";"3";"50";;;;"5";"1";"50"
;"5";"3";"51";"5";"2";"51";;;;"5";"1";"51";"5";"1";"51";"5";"2";"51";;;;;;;"5";"1";"51";;;;;;;"5";"3";"51";;;;;;;"5";"1";"51";;;;;;;"5";"2";"51";"5";"1";"51";;;;;;;;;;"5";"2";"51";"5";"1";"51";"5";"4";"51";"5";"1";"51";;;;"5";"3";"51";;;;"5";"1";"51"
;"5";"2";"52";"5";"2";"52";;;;"5";"1";"52";;;;"5";"2";"52";;;;;;;"5";"1";"52";;;;;;;"5";"3";"52";;;;;;;"5";"1";"52";;;;;;;"5";"2";"52";"5";"1";"52";;;;;;;;;;"5";"2";"52";"5";"1";"52";"5";"4";"52";"5";"1";"52";;;;"5";"3";"52";;;;"5";"1";"52"
;"5";"2";"53";"5";"2";"53";;;;"5";"1";"53";;;;"5";"1";"53";;;;;;;"5";"1";"53";;;;;;;"5";"3";"53";;;;;;;"5";"1";"53";;;;;;;"5";"2";"53";"5";"1";"53";;;;;;;;;;"5";"2";"53";"5";"1";"53";"5";"4";"53";"5";"1";"53";;;;"5";"3";"53";;;;"5";"1";"53"
;"5";"2";"54";"5";"2";"54";;;;"5";"1";"54";;;;"5";"1";"54";;;;;;;"5";"1";"54";;;;;;;"5";"3";"54";;;;;;;"5";"1";"54";;;;;;;"5";"2";"54";"5";"1";"54";;;;;;;;;;"5";"2";"54";"5";"1";"54";"5";"4";"54";"5";"1";"54";;;;"5";"3";"54";;;;"5";"1";"54"
;"5";"2";"55";"5";"2";"55";;;;"5";"1";"55";;;;"5";"1";"55";;;;;;;"5";"1";"55";;;;;;;"5";"3";"55";;;;;;;"5";"1";"55";;;;;;;"5";"2";"55";"5";"1";"55";;;;;;;;;;"5";"2";"55";"5";"1";"55";"5";"4";"55";"5";"1";"55";;;;"5";"3";"55";;;;"5";"1";"55"
;"5";"1";"56";"5";"2";"56";;;;"5";"1";"56";;;;"5";"1";"56";;;;;;;"5";"1";"56";;;;;;;"5";"3";"56";;;;;;;"5";"1";"56";;;;;;;"5";"2";"56";"5";"1";"56";;;;;;;;;;"5";"2";"56";"5";"1";"56";"5";"4";"56";"5";"1";"56";;;;"5";"3";"56";;;;"5";"1";"56"
;"5";"1";"57";"5";"1";"57";;;;;;;;;;"5";"1";"57";;;;;;;"5";"1";"57";;;;;;;"5";"3";"57";;;;;;;"5";"1";"57";;;;;;;"5";"2";"57";"5";"1";"57";;;;;;;;;;"5";"2";"57";"5";"1";"57";"5";"4";"57";"5";"1";"57";;;;"5";"3";"57";;;;"5";"1";"57"
;"5";"1";"58";"5";"1";"58";;;;;;;;;;"5";"1";"58";;;;;;;"5";"1";"58";;;;;;;"5";"3";"58";;;;;;;"5";"1";"58";;;;;;;"5";"2";"58";"5";"1";"58";;;;;;;;;;"5";"2";"58";"5";"1";"58";"5";"3";"58";"5";"1";"58";;;;"5";"3";"58";;;;"5";"1";"58"
;"5";"1";"59";"5";"1";"59";;;;;;;;;;"5";"1";"59";;;;;;;"5";"1";"59";;;;;;;"5";"3";"59";;;;;;;"5";"1";"59";;;;;;;"5";"2";"59";"5";"1";"59";;;;;;;;;;"5";"2";"59";"5";"1";"59";"5";"3";"59";;;;;;;"5";"3";"59";;;;"5";"1";"59"
;"5";"1";"60";"5";"1";"60";;;;;;;;;;;;;;;;;;;"5";"1";"60";;;;;;;"5";"3";"60";;;;;;;"5";"1";"60";;;;;;;"5";"2";"60";"5";"1";"60";;;;;;;;;;"5";"2";"60";"5";"1";"60";"5";"3";"60";;;;;;;"5";"3";"60";;;;"5";"1";"60"
;"5";"1";"61";"5";"1";"61";;;;;;;;;;;;;;;;;;;"5";"1";"61";;;;;;;"5";"2";"61";;;;;;;"5";"1";"61";;;;;;;"5";"2";"61";"5";"1";"61";;;;;;;;;;"5";"2";"61";"5";"1";"61";"5";"3";"61";;;;;;;"5";"3";"61";;;;"5";"1";"61"
;"5";"1";"62";"5";"1";"62";;;;;;;;;;;;;;;;;;;"5";"1";"62";;;;;;;"5";"2";"62";;;;;;;"5";"1";"62";;;;;;;"5";"2";"62";"5";"1";"62";;;;;;;;;;"5";"2";"62";"5";"1";"62";"5";"3";"62";;;;;;;"5";"3";"62";;;;"5";"1";"62"
;"5";"1";"63";"5";"1";"63";;;;;;;;;;;;;;;;;;;"5";"1";"63";;;;;;;"5";"2";"63";;;;;;;"5";"1";"63";;;;;;;"5";"2";"63";"5";"1";"63";;;;;;;;;;"5";"2";"63";"5";"1";"63";"5";"3";"63";;;;;;;"5";"3";"63";;;;"5";"1";"63"
;"5";"1";"64";"5";"1";"64";;;;;;;;;;;;;;;;;;;"5";"1";"64";;;;;;;"5";"2";"64";;;;;;;"5";"1";"64";;;;;;;"5";"2";"64";"5";"1";"64";;;;;;;;;;"5";"2";"64";"5";"1";"64";"5";"3";"64";;;;;;;"5";"3";"64";;;;"5";"1";"64"
;"5";"1";"65";"5";"1";"65";;;;;;;;;;;;;;;;;;;"5";"1";"65";;;;;;;"5";"2";"65";;;;;;;"5";"1";"65";;;;;;;"5";"2";"65";"5";"1";"65";;;;;;;;;;"5";"2";"65";"5";"1";"65";"5";"3";"65";;;;;;;"5";"3";"65";;;;"5";"1";"65"
;"5";"1";"66";"5";"1";"66";;;;;;;;;;;;;;;;;;;"5";"1";"66";;;;;;;"5";"1";"66";;;;;;;"5";"1";"66";;;;;;;"5";"2";"66";"5";"1";"66";;;;;;;;;;"5";"2";"66";"5";"1";"66";"5";"3";"66";;;;;;;"5";"3";"66";;;;"5";"1";"66"
;"5";"1";"67";;;;;;;;;;;;;;;;;;;;;;"5";"1";"67";;;;;;;"5";"1";"67";;;;;;;"5";"1";"67";;;;;;;"5";"2";"67";"5";"1";"67";;;;;;;;;;"5";"2";"67";"5";"1";"67";"5";"3";"67";;;;;;;"5";"3";"67";;;;"5";"1";"67"
;"5";"1";"68";;;;;;;;;;;;;;;;;;;;;;"5";"1";"68";;;;;;;"5";"1";"68";;;;;;;"5";"1";"68";;;;;;;"5";"2";"68";"5";"1";"68";;;;;;;;;;"5";"2";"68";"5";"1";"68";"5";"3";"68";;;;;;;"5";"3";"68";;;;"5";"1";"68"
;"5";"1";"69";;;;;;;;;;;;;;;;;;;;;;"5";"1";"69";;;;;;;"5";"1";"69";;;;;;;"5";"1";"69";;;;;;;"5";"2";"69";"5";"1";"69";;;;;;;;;;"5";"2";"69";"5";"1";"69";"5";"3";"69";;;;;;;"5";"3";"69";;;;"5";"1";"69"
;"5";"1";"70";;;;;;;;;;;;;;;;;;;;;;"5";"1";"70";;;;;;;"5";"1";"70";;;;;;;"5";"1";"70";;;;;;;"5";"2";"70";"5";"1";"70";;;;;;;;;;"5";"2";"70";"5";"1";"70";"5";"3";"70";;;;;;;"5";"3";"70";;;;"5";"1";"70"
;"5";"1";"71";;;;;;;;;;;;;;;;;;;;;;"5";"1";"71";;;;;;;"5";"1";"71";;;;;;;"5";"1";"71";;;;;;;"5";"2";"71";"5";"1";"71";;;;;;;;;;"5";"2";"71";"5";"1";"71";"5";"3";"71";;;;;;;"5";"3";"71";;;;"5";"1";"71"
;"5";"1";"72";;;;;;;;;;;;;;;;;;;;;;"5";"1";"72";;;;;;;"5";"1";"72";;;;;;;"5";"1";"72";;;;;;;"5";"1";"72";"5";"1";"72";;;;;;;;;;"5";"1";"72";"5";"1";"72";"5";"3";"72";;;;;;;"5";"3";"72";;;;"5";"1";"72"
;"5";"1";"73";;;;;;;;;;;;;;;;;;;;;;"5";"1";"73";;;;;;;"5";"1";"73";;;;;;;"5";"1";"73";;;;;;;"5";"1";"73";"5";"1";"73";;;;;;;;;;"5";"1";"73";"5";"1";"73";"5";"3";"73";;;;;;;"5";"3";"73";;;;"5";"1";"73"
;"5";"1";"74";;;;;;;;;;;;;;;;;;;;;;"5";"1";"74";;;;;;;"5";"1";"74";;;;;;;"5";"1";"74";;;;;;;"5";"1";"74";"5";"1";"74";;;;;;;;;;"5";"1";"74";"5";"1";"74";"5";"3";"74";;;;;;;"5";"3";"74";;;;"5";"1";"74"
;"5";"1";"75";;;;;;;;;;;;;;;;;;;;;;"5";"1";"75";;;;;;;"5";"1";"75";;;;;;;"5";"1";"75";;;;;;;"5";"1";"75";"5";"1";"75";;;;;;;;;;"5";"1";"75";"5";"1";"75";"5";"2";"75";;;;;;;"5";"3";"75";;;;"5";"1";"75"
;"5";"1";"76";;;;;;;;;;;;;;;;;;;;;;"5";"1";"76";;;;;;;"5";"1";"76";;;;;;;"5";"1";"76";;;;;;;"5";"1";"76";"5";"1";"76";;;;;;;;;;"5";"1";"76";"5";"1";"76";"5";"2";"76";;;;;;;"5";"3";"76";;;;"5";"1";"76"
;"5";"1";"77";;;;;;;;;;;;;;;;;;;;;;"5";"1";"77";;;;;;;"5";"1";"77";;;;;;;"5";"1";"77";;;;;;;"5";"1";"77";"5";"1";"77";;;;;;;;;;"5";"1";"77";"5";"1";"77";"5";"2";"77";;;;;;;"5";"2";"77";;;;"5";"1";"77"
;"5";"1";"78";;;;;;;;;;;;;;;;;;;;;;"5";"1";"78";;;;;;;"5";"1";"78";;;;;;;"5";"1";"78";;;;;;;"5";"1";"78";"5";"1";"78";;;;;;;;;;"5";"1";"78";"5";"1";"78";"5";"2";"78";;;;;;;"5";"2";"78";;;;"5";"1";"78"
;"5";"1";"79";;;;;;;;;;;;;;;;;;;;;;"5";"1";"79";;;;;;;"5";"1";"79";;;;;;;"5";"1";"79";;;;;;;"5";"1";"79";"5";"1";"79";;;;;;;;;;"5";"1";"79";"5";"1";"79";"5";"2";"79";;;;;;;"5";"2";"79";;;;"5";"1";"79"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"80";;;;;;;"5";"1";"80";;;;;;;"5";"1";"80";;;;;;;"5";"1";"80";"5";"1";"80";;;;;;;;;;"5";"1";"80";"5";"1";"80";"5";"2";"80";;;;;;;"5";"2";"80";;;;"5";"1";"80"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"81";;;;;;;"5";"1";"81";;;;;;;"5";"1";"81";;;;;;;"5";"1";"81";"5";"1";"81";;;;;;;;;;"5";"1";"81";"5";"1";"81";"5";"2";"81";;;;;;;"5";"1";"81";;;;"5";"1";"81"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"82";;;;;;;"5";"1";"82";;;;;;;"5";"1";"82";;;;;;;"5";"1";"82";"5";"1";"82";;;;;;;;;;"5";"1";"82";"5";"1";"82";"5";"2";"82";;;;;;;"5";"1";"82";;;;"5";"1";"82"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"83";;;;;;;"5";"1";"83";;;;;;;"5";"1";"83";;;;;;;"5";"1";"83";"5";"1";"83";;;;;;;;;;"5";"1";"83";"5";"1";"83";"5";"2";"83";;;;;;;"5";"1";"83";;;;"5";"1";"83"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"84";;;;;;;"5";"1";"84";;;;;;;"5";"1";"84";;;;;;;"5";"1";"84";"5";"1";"84";;;;;;;;;;"5";"1";"84";"5";"1";"84";"5";"2";"84";;;;;;;"5";"1";"84";;;;"5";"1";"84"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"85";;;;;;;"5";"1";"85";;;;;;;"5";"1";"85";;;;;;;"5";"1";"85";;;;;;;;;;;;;"5";"1";"85";"5";"1";"85";"5";"1";"85";;;;;;;"5";"1";"85";;;;"5";"1";"85"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"86";;;;;;;"5";"1";"86";;;;;;;"5";"1";"86";;;;;;;"5";"1";"86";;;;;;;;;;;;;"5";"1";"86";"5";"1";"86";"5";"1";"86";;;;;;;"5";"1";"86";;;;"5";"1";"86"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"87";;;;;;;"5";"1";"87";;;;;;;"5";"1";"87";;;;;;;"5";"1";"87";;;;;;;;;;;;;"5";"1";"87";"5";"1";"87";"5";"1";"87";;;;;;;"5";"1";"87";;;;"5";"1";"87"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"88";;;;;;;"5";"1";"88";;;;;;;"5";"1";"88";;;;;;;"5";"1";"88";;;;;;;;;;;;;"5";"1";"88";"5";"1";"88";"5";"1";"88";;;;;;;"5";"1";"88";;;;"5";"1";"88"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"89";;;;;;;"5";"1";"89";;;;;;;"5";"1";"89";;;;;;;"5";"1";"89";;;;;;;;;;;;;"5";"1";"89";;;;"5";"1";"89";;;;;;;"5";"1";"89";;;;"5";"1";"89"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"90";;;;;;;"5";"1";"90";;;;;;;"5";"1";"90";;;;;;;"5";"1";"90";;;;;;;;;;;;;"5";"1";"90";;;;"5";"1";"90";;;;;;;"5";"1";"90";;;;"5";"1";"90"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"91";;;;;;;"5";"1";"91";;;;;;;"5";"1";"91";;;;;;;"5";"1";"91";;;;;;;;;;;;;"5";"1";"91";;;;"5";"1";"91";;;;;;;"5";"1";"91";;;;"5";"1";"91"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"92";;;;;;;"5";"1";"92";;;;;;;"5";"1";"92";;;;;;;"5";"1";"92";;;;;;;;;;;;;"5";"1";"92";;;;"5";"1";"92";;;;;;;"5";"1";"92";;;;"5";"1";"92"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"93";;;;;;;"5";"1";"93";;;;;;;"5";"1";"93";;;;;;;"5";"1";"93";;;;;;;;;;;;;"5";"1";"93";;;;"5";"1";"93";;;;;;;"5";"1";"93";;;;"5";"1";"93"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"94";;;;;;;"5";"1";"94";;;;;;;"5";"1";"94";;;;;;;"5";"1";"94";;;;;;;;;;;;;"5";"1";"94";;;;"5";"1";"94";;;;;;;"5";"1";"94";;;;"5";"1";"94"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"95";;;;;;;"5";"1";"95";;;;;;;;;;;;;;;;"5";"1";"95";;;;;;;;;;;;;"5";"1";"95";;;;"5";"1";"95";;;;;;;;;;;;;"5";"1";"95"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"96";;;;;;;"5";"1";"96";;;;;;;;;;;;;;;;"5";"1";"96";;;;;;;;;;;;;"5";"1";"96";;;;"5";"1";"96";;;;;;;;;;;;;"5";"1";"96"
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"97";;;;;;;"5";"1";"97";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"97";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"98";;;;;;;"5";"1";"98";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"98";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"99";;;;;;;"5";"1";"99";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"99";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"100";;;;;;;"5";"1";"100";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"100";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"101";;;;;;;"5";"1";"101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"101";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"102";;;;;;;"5";"1";"102";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"102";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"103";;;;;;;"5";"1";"103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"103";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"104";;;;;;;"5";"1";"104";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"104";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"105";;;;;;;"5";"1";"105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"105";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"106";;;;;;;"5";"1";"106";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"106";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"107";;;;;;;"5";"1";"107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"107";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"108";;;;;;;"5";"1";"108";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"108";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"109";;;;;;;"5";"1";"109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"109";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"110";;;;;;;"5";"1";"110";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"110";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"111";;;;;;;"5";"1";"111";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"111";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"112";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5";"1";"112";;;;;;;;;;;;;;;
